=================================  ==============================================================================================================================================================================================================================================================================================================================================================
gubbins                            2.3.2
guppy                              3.1.5-1, container
*gurobi* ``restricted``            7.5.1, 8.0.0
gvcftools                          0.17.0
**H**                              .. _H:
h5toxds                            1.1.0
hdf5                               1.10.0-patch1
hdfview                            3.0
hisat2                             2.1.0
hmmer                              2.4i, 3.2.1
horovod                            0.16.4
hotspot                            4.0.0
htop                               2.0.1
htseq                              0.10.0
htslib                             1.7, 1.9, 1.9-gcc5
huygens                            16.10.1-p1
hyperspy                           1.4
hypre                              2.11.2, 2.15.0
**I**                              .. _I:
*icm* ``restricted``               3.7-3b, 3.8.7
idl                                8.6
idr                                2.0.3
igv                                2.3.81, 2.4.19
ihrsr++                            v1.5
ilastik                            1.2.0
illumina-utils                     2.6, 2.6-python3.7
imagej                             20160205
imagemagick                        7.0.5-7, 7.0.8-23, 7.0.8.23-native
imagescope                         11.2.0.780
imblproc                           20190405
imod                               4.8.54, 4.9.12, 4.9.9
imod-raza                          4.7.12
imosflm                            7.2.1, 7.2.2
impute2                            2.3.1
intel                              2015.0.090, 2016, 2017u4, 2018test, 2018u3
iqtree                             1.5.3, 1.6.10, 1.6.2
ismapper                           2.0
itk                                4.10.0-gcc4, 4.10.0-gcc5, 4.10.0-gcc5-p1, 4.13.0-gcc4, 4.13.1-gcc4, 4.8.2-gcc4, 4.8.2-gcc5
itksnap                            3.3.x(default), 3.8.0-beta
**J**                              .. _J:
jags                               3.3.0, 3.4.0, 4.3.0
java                               1.7.0_67, 1.8.0_77(default)
jdk                                10-20180320
jellyfish                          1.1.12
jspr                               2017-7-20
juicer                             1.6.2
**K**                              .. _K:
kallisto                           0.43.0
kaptive                            0.5.1
kilosort                           1.0
king                               2.1.6
kleborate                          0.2.0, 0.3.0
kraken                             1.1.1
kraken2                            2.0.7-beta
krakenuniq                         0.5.8
kronatools                         2.7.1
**L**                              .. _L:
lammps                             20180510(default), 20181212
lapack                             3.6.1-gcc4, 3.6.1-gcc4-opt, 3.6.1-gcc5, 3.8.0-gcc5, 3.8.0-gcc5-pic
ldmap                              28apr15
ldpred                             1.0.6
leveldb                            master, master-gcc4
*levelset* ``restricted``          0.0.2(default)
libertem                           20190521
libffi                             3.2.1
libffi-devel                       3.0.13
libfuse                            3.6.1
libgd                              2.2.4
libgeotiff                         1.4.2
